team_id,espn_id,school_name,team_symbol,team_name,search_name,link,logo_link
84,23,San Jose State,SJST,Spartans,san-jose-state,http://espn.go.com/college-football/team/_/id/23/san-jose-state-spartans,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/23.gif
85,2579,South Carolina,USCE,Gamecocks,south-carolina,http://espn.go.com/college-football/team/_/id/2579/south-carolina-gamecocks,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2579.gif
86,58,South Florida,USF,Bulls,south-florida,http://espn.go.com/college-football/team/_/id/58/south-florida-bulls,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/58.gif
87,30,Southern California,USC,Trojans,southern-california,http://espn.go.com/college-football/team/_/id/30/usc-trojans,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/30.gif
88,2567,Southern Methodist,SMET,Mustangs,southern-methodist,http://espn.go.com/college-football/team/_/id/2567/southern-methodist-mustangs,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2567.gif
89,2572,Southern Miss,SMIS,Golden Eagles,southern-mississippi,http://espn.go.com/college-football/team/_/id/2572/southern-miss-golden-eagles,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2572.gif
90,24,Stanford,STAN,Cardinal,stanford,http://espn.go.com/college-football/team/_/id/24/stanford-cardinal,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/24.gif
91,183,Syracuse,SYR,Orangemen,syracuse,http://espn.go.com/college-football/team/_/id/183/syracuse-orange,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/183.gif
92,2628,Texas Christian,TCU,Horned Frogs,texas-christian,http://espn.go.com/college-football/team/_/id/2628/tcu-horned-frogs,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2628.gif
93,218,Temple,TEMP,Owls,temple,http://espn.go.com/college-football/team/_/id/218/temple-owls,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/218.gif
